,blosum_62_score,blosum_45_score,blosum_90_score,count_gaps
0,-118633.0,-116022.0,-302468.0,0
1,-141391.0,-126688.0,-303987.0,0
2,-118766.0,-106089.0,-288860.0,0
3,-132865.0,-108575.0,-283601.0,0
4,-117806.0,-102961.0,-283700.0,0
5,-126116.0,-116494.0,-300753.0,0
6,-132970.0,-125436.0,-309018.0,0
7,-81258.0,-78572.0,-266642.0,0
8,-138470.0,-121349.0,-300107.0,0
9,-137963.0,-127962.0,-307802.0,0
10,-150753.0,-141721.0,-321762.0,0
11,-122059.0,-116144.0,-302139.0,0
12,-159227.0,-153385.0,-336194.0,0
13,-113090.0,-98043.0,-279437.0,0
14,-84523.0,-75408.0,-259962.0,0
15,-98691.0,-85537.0,-267333.0,0
16,-118501.0,-112607.0,-298535.0,0
17,-124346.0,-106370.0,-286052.0,0
18,-142216.0,-121817.0,-299298.0,0
19,-129869.0,-107919.0,-284311.0,0
20,-150230.0,-141662.0,-321978.0,0
21,-136015.0,-138234.0,-325649.0,0
22,-146426.0,-141768.0,-324175.0,0
23,-145873.0,-142468.0,-325673.0,0
24,-104992.0,-87801.0,-267420.0,0
25,-118627.0,-117034.0,-305169.0,0
26,-132583.0,-133931.0,-319326.0,0
27,-131905.0,-139606.0,-329373.0,0
28,-110726.0,-102656.0,-287539.0,0
29,-139874.0,-138153.0,-322147.0,0
30,-160447.0,-157446.0,-340609.0,0
31,-131189.0,-113077.0,-289721.0,0
32,-131201.0,-120628.0,-304165.0,0
33,-136256.0,-113685.0,-289888.0,0
34,-121919.0,-119178.0,-305411.0,0
35,-103289.0,-93073.0,-276982.0,0
36,-112721.0,-106222.0,-292304.0,0
37,-113699.0,-108728.0,-294134.0,0
38,-145081.0,-137058.0,-317746.0,0
39,-131501.0,-118406.0,-301447.0,0
40,-101985.0,-85986.0,-265385.0,0
41,-115085.0,-118316.0,-304833.0,0
42,-134348.0,-140822.0,-329567.0,0
43,-77296.0,-68955.0,-254596.0,0
44,-82272.0,-70023.0,-253644.0,0
45,-134537.0,-136111.0,-322115.0,0
46,-105348.0,-104179.0,-293121.0,0
47,-127399.0,-127745.0,-313305.0,0
48,-147218.0,-135474.0,-316982.0,0
49,-124614.0,-103600.0,-279707.0,0
50,-124320.0,-118390.0,-304084.0,0
51,-119373.0,-102567.0,-281491.0,0
52,-138846.0,-121747.0,-302147.0,0
53,-117673.0,-103673.0,-285870.0,0
54,-128658.0,-109459.0,-286421.0,0
55,-104231.0,-98344.0,-284274.0,0
56,-130118.0,-110225.0,-288578.0,0
57,-148243.0,-144430.0,-326731.0,0
58,-98591.0,-102647.0,-292723.0,0
59,-124959.0,-115683.0,-297624.0,0
60,-128188.0,-117575.0,-301902.0,0
61,-134941.0,-130740.0,-314798.0,0
62,-127248.0,-115297.0,-297610.0,0
63,-122015.0,-113503.0,-296611.0,0
64,-118433.0,-104459.0,-285321.0,0
65,-133984.0,-120513.0,-299684.0,0
66,-139241.0,-131354.0,-316540.0,0
67,-143790.0,-145794.0,-331586.0,0
68,-139601.0,-128145.0,-306216.0,0
69,-115074.0,-114417.0,-301776.0,0
70,-98097.0,-89439.0,-273510.0,0
71,-156949.0,-155695.0,-341845.0,0
72,-156175.0,-144555.0,-324791.0,0
73,-138506.0,-134347.0,-319754.0,0
74,-99681.0,-79056.0,-254551.0,0
75,-162436.0,-162789.0,-349995.0,0
76,-163219.0,-153847.0,-333250.0,0
77,-149443.0,-144340.0,-325249.0,0
78,-147960.0,-133625.0,-311763.0,0
79,-154784.0,-136212.0,-312474.0,0
80,-142131.0,-139545.0,-323392.0,0
81,-136370.0,-129255.0,-314463.0,0
82,-82081.0,-80886.0,-269920.0,0
83,-135642.0,-136325.0,-322849.0,0
84,-118838.0,-110486.0,-295570.0,0
85,-121710.0,-103422.0,-282048.0,0
86,-87832.0,-74762.0,-256193.0,0
87,-129023.0,-126857.0,-311634.0,0
88,-134792.0,-116766.0,-295045.0,0
89,-104361.0,-91414.0,-272777.0,0
90,-154790.0,-149022.0,-330463.0,0
91,-139139.0,-121772.0,-302084.0,0
92,-150593.0,-146063.0,-331209.0,0
93,-99319.0,-95017.0,-281698.0,0
94,-133980.0,-126885.0,-312131.0,0
95,-139545.0,-137184.0,-320733.0,0
96,-142418.0,-138892.0,-322529.0,0
97,-154309.0,-149062.0,-332562.0,0
